"rank"	"DPName"	"dpID"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"pubFormat"	"exampleEntry"	"inputs"	"source"	"timeIndex"	"timeDescription"	"spatialIndex"	"spatialDescription"	"horIndex"	"horDescription"	"vertIndex"	"vertDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"
"1"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"startDateTime"	"Date and time at which a sampling is initiated"	"dateTime"	"NA"	"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"N"	"NA"
"2"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"endDateTime"	"Date and time at which a sampling is completed"	"dateTime"	"NA"	"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"N"	"NA"
"3"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARMean"	"Arithmetic mean of incoming PAR"	"real"	"wattsPerSquareMeter"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"4"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARMinimum"	"Minimum incoming PAR"	"real"	"wattsPerSquareMeter"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"5"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARMaximum"	"Maximum incoming PAR"	"real"	"wattsPerSquareMeter"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"6"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARVariance"	"Variance in incoming PAR"	"real"	"wattsPerSquareMeterSquared"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"7"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARNumPts"	"Number of points used to calculate the arithmetic mean of incoming PAR"	"real"	"number"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"N"	"NA"
"8"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARExpUncert"	"Expanded uncertainty for incoming PAR"	"real"	"wattsPerSquareMeter"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"9"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"inPARStdErMean"	"Standard error of the mean for incoming PAR"	"real"	"wattsPerSquareMeter"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"basic"	"Y"	"NA"
"10"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"rangeQAQCRpt"	"Quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realisitc value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., couldn't be run))"	"string"	"NA"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"request"	"N"	"NA"
"11"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"persistenceQAQCRpt"	"Quality assurance and quality control report for the persistence test, which indicates whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., couldn't be run))"	"string"	"NA"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"request"	"N"	"NA"
"12"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"stepQAQCRpt"	"Quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., couldn't be run))"	"string"	"NA"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"request"	"N"	"NA"
"13"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"nullQAQCRpt"	"Quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., couldn't be run))"	"string"	"NA"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"request"	"N"	"NA"
"14"	"IR Biological Temperature"	"NEON.DOM.SITE.DP1.00005.001"	"NA"	"IRBT_1_minute"	"IR Biological Temperature averaged over 1 minute"	"gapQAQCRpt"	"Quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)"	"string"	"NA"	"asIs"	"NA"	"NA"	"NA"	"1"	"minute"	"NA"	"NA"	"HOR"	"variable"	"VER"	"variable"	"request"	"N"	"NA"
